name,category,calories,protein,carbs,fiber,fat,sugar,iron,calcium,magnesium,potassium,sodium,zinc,vitamin_a,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k,folate,omega3,omega6,serving_size,cost,availability,image_path,description,source
Tofu (firm),Legume/Soy,144,15.8,2.8,0.9,8.7,0.6,2.7,350,30,121,12,1.6,0,0,0.1,0,0.01,2.4,15,0.6,4.2,100,60,High,assets/tofu_firm.png,Tofu (firm) - Legume/Soy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Paneer,Dairy,265,18.3,6.1,0,20.8,2.6,0.2,480,21,138,22,0.9,176,0.8,0,0.1,0.1,1.4,27,0.1,0.4,100,120,High,assets/paneer.png,Paneer - Dairy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Soy Chunks,Legume/Soy,345,52.0,33.0,13.0,0.5,5.7,15.7,240,250,2384,40,4.9,0,0,0,0,0.1,0,165,0.6,10.0,50,40,High,assets/soy_chunks.png,Soy Chunks - Legume/Soy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Tempeh,Legume/Soy,193,20.3,9.4,0,10.8,0,2.7,111,81,412,9,1.1,0,0.1,0,0,0.2,0,24,0.4,4.9,100,90,Medium,assets/tempeh.png,Tempeh - Legume/Soy food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Lentils (cooked),Legume,116,9.0,20.1,7.9,0.4,1.8,3.3,19,36,369,2,1.3,8,0,1.5,0,0.1,1.7,181,0.1,0.2,100,25,High,assets/lentils_cooked.png,Lentils (cooked) - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chickpeas (cooked),Legume,164,8.9,27.4,7.6,2.6,4.8,2.9,49,48,291,7,1.5,3,0,1.3,0,0.4,4,172,0.1,1.0,100,30,High,assets/chickpeas_cooked.png,Chickpeas (cooked) - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Kidney Beans (cooked),Legume,127,8.7,22.8,6.4,0.5,0.3,2.9,35,45,405,2,1.0,0,0,1.2,0,0,8.4,130,0.1,0.2,100,35,High,assets/kidney_beans_cooked.png,Kidney Beans (cooked) - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Black Beans (cooked),Legume,132,8.9,23.7,8.7,0.5,0.3,2.1,27,70,355,1,1.1,0,0,0,0,0,3.3,149,0.1,0.2,100,35,High,assets/black_beans_cooked.png,Black Beans (cooked) - Legume food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Green Peas (cooked),Vegetable,84,5.4,15.6,5.5,0.2,5.9,1.5,25,33,244,3,1.0,38,0,14.2,0,0.1,24.8,65,0.03,0.1,100,30,High,assets/green_peas_cooked.png,Green Peas (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Spinach (cooked),Vegetable,23,2.9,3.6,2.4,0.3,0.4,3.6,136,87,466,70,0.8,469,0,9.8,0,2.0,494,146,0.1,0.03,100,20,High,assets/spinach_cooked.png,Spinach (cooked) - Vegetable food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
