name,category,calories,protein,carbs,fiber,fat,sugar,iron,calcium,magnesium,potassium,sodium,zinc,vitamin_a,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k,folate,omega3,omega6,serving_size,cost,availability,image_path,description,source
Chicken Breast (cooked),Poultry,165,31.0,0,0,3.6,0,1.0,15,29,256,74,1.0,21,0.3,0,0.1,0.3,0.3,4,0.02,0.7,100,90,High,assets/chicken_breast_cooked.png,Chicken Breast (cooked) - Poultry food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Chicken Thigh (cooked),Poultry,209,26.0,0,0,10.9,0,1.3,12,20,229,87,2.0,46,0.3,0,0.1,0.2,0.3,8,0.05,1.6,100,85,High,assets/chicken_thigh_cooked.png,Chicken Thigh (cooked) - Poultry food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
"Egg (whole, boiled)",Egg,155,12.6,1.1,0,10.6,1.1,1.2,50,10,126,124,1.3,160,0.9,0,1.1,1.0,0.3,44,0.1,1.4,50,15,High,assets/egg_whole_boiled.png,"Egg (whole, boiled) - Egg food item with per-serving nutrition data.",Curated dataset (USDA/typical nutrition references)
"Fish (Rohu, cooked)",Fish,97,16.9,0,0,2.8,0,0.9,27,25,260,60,0.7,30,1.2,0,5.0,0.5,0,10,0.3,0.2,100,60,High,assets/fish_rohu_cooked.png,"Fish (Rohu, cooked) - Fish food item with per-serving nutrition data.",Curated dataset (USDA/typical nutrition references)
Salmon (cooked),Fish,208,20.4,0,0,13.4,0,0.3,9,27,384,59,0.4,12,3.2,0,11.0,1.1,0.1,26,2.3,0.2,100,180,Medium,assets/salmon_cooked.png,Salmon (cooked) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Tuna (cooked),Fish,132,28.0,0,0,1.3,0,1.0,4,30,252,39,0.5,15,2.2,0,1.7,0.5,0,3,0.2,0.03,100,100,Medium,assets/tuna_cooked.png,Tuna (cooked) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Sardines (canned),Fish,208,24.6,0,0,11.5,0,2.9,382,39,397,307,1.3,32,8.9,0,4.8,2.0,0.1,11,1.5,0.2,100,70,Medium,assets/sardines_canned.png,Sardines (canned) - Fish food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
"Beef (lean, cooked)",Red Meat,250,26.0,0,0,15.0,0,2.6,18,21,318,72,6.3,0,2.6,0,0,0.2,1.6,7,0.02,0.4,100,150,Medium,assets/beef_lean_cooked.png,"Beef (lean, cooked) - Red Meat food item with per-serving nutrition data.",Curated dataset (USDA/typical nutrition references)
Mutton (cooked),Red Meat,294,25.0,0,0,20.9,0,1.9,17,20,310,79,4.5,0,2.1,0,0,0.3,4.9,18,0.1,0.7,100,200,Medium,assets/mutton_cooked.png,Mutton (cooked) - Red Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
Goat Meat (cooked),Red Meat,143,27.1,0,0,3.0,0,3.7,13,25,385,82,4.2,0,0,0,0,0.1,0,5,0.02,0.1,100,180,Medium,assets/goat_meat_cooked.png,Goat Meat (cooked) - Red Meat food item with per-serving nutrition data.,Curated dataset (USDA/typical nutrition references)
